Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,,Percent,97.2
2012,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,,Percent,97.6
2014,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,,Percent,98.3
2016,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,,Percent,98.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,,Percent,99
2020,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,,Percent,BC SDG
2010,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Urban,Percent,99.6
2012,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Urban,Percent,99.8
2014,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Urban,Percent,99.8
2016,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Urban,Percent,99.8
2018,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Urban,Percent,99.9
2020,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Urban,Percent,BC SDG
2010,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Rural,Percent,96.2
2012,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Rural,Percent,96.6
2014,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Rural,Percent,97.6
2016,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Rural,Percent,98.3
2018,Normal value,Units,Not Available,Annual,National,Proportion of population with access to electricity [7.1.1],Viet Nam,Rural,Percent,98.6
